id,prediction
0,1
1,0
2,1
3,1
4,1
5,0
6,1
7,0
8,0
9,0
10,1
11,0
12,-1
13,-1
14,0
15,1
16,1
17,-1
18,-1
19,-1
20,-1
21,-1
22,1
23,1
24,1
25,1
26,-1
27,0
28,-1
29,-1
30,-1
31,0
32,1
33,1
34,1
35,-1
36,0
37,-1
38,-1
39,-1
40,0
41,-1
42,1
43,0
44,-1
45,-1
46,0
47,-1
48,-1
49,-1
50,0
51,-1
52,1
53,0
54,-1
55,0
56,-1
57,-1
58,-1
59,-1
60,1
61,-1
62,-1
63,1
64,0
65,0
66,1
67,0
68,0
69,-1
70,-1
71,-1
72,1
73,1
74,1
75,0
76,-1
77,0
78,1
79,0
80,0
81,0
82,-1
83,-1
84,1
85,-1
86,0
87,0
88,0
89,-1
90,-1
91,-1
92,0
93,1
94,-1
95,-1
96,-1
97,0
98,0
99,1
100,0
101,-1
102,0
103,1
104,0
105,0
106,0
107,1
108,1
109,1
110,-1
111,1
112,0
113,-1
114,1
115,0
116,0
117,-1
118,-1
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,1
128,-1
129,1
130,0
131,-1
132,-1
133,-1
134,1
135,1
136,1
137,1
138,-1
139,1
140,1
141,1
142,1
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,-1
155,-1
156,0
157,-1
158,1
159,-1
160,0
161,0
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,-1
171,0
172,1
173,-1
174,-1
175,1
176,0
177,0
178,1
179,1
180,1
181,0
182,-1
183,1
184,-1
185,1
186,1
187,0
188,1
189,-1
190,0
191,1
192,0
193,-1
194,-1
195,0
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,-1
205,-1
206,1
207,-1
208,1
209,-1
210,-1
211,-1
212,1
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,-1
221,-1
222,-1
223,1
224,0
225,0
226,0
227,-1
228,-1
229,0
230,-1
231,0
232,1
233,-1
234,-1
235,-1
236,0
237,1
238,0
239,1
240,1
241,0
242,0
243,-1
244,0
245,1
246,0
247,-1
248,1
249,0
250,1
251,0
252,0
253,1
254,-1
255,0
256,1
257,1
258,-1
259,1
260,-1
261,0
262,-1
263,0
264,0
265,-1
266,-1
267,1
268,-1
269,1
270,-1
271,-1
272,0
273,0
274,0
275,-1
276,1
277,0
278,0
279,0
280,-1
281,1
282,1
283,-1
284,-1
285,1
286,1
287,0
288,0
289,0
290,1
291,-1
292,0
293,1
294,0
295,0
296,1
297,-1
298,0
299,-1
300,0
301,1
302,1
303,0
304,-1
305,1
306,-1
307,0
308,-1
309,0
310,0
311,-1
312,0
313,0
314,1
315,-1
316,1
317,-1
318,0
319,0
320,1
321,-1
322,0
323,-1
324,-1
325,-1
326,0
327,0
328,1
329,1
330,-1
331,0
332,0
333,-1
334,0
335,1
336,1
337,0
338,-1
339,-1
340,1
341,-1
342,-1
343,1
344,0
345,1
346,-1
347,1
348,1
349,0
350,1
351,-1
352,1
353,-1
354,1
355,0
356,1
357,-1
358,1
359,0
360,1
361,0
362,-1
363,0
364,1
365,0
366,0
367,-1
368,-1
369,-1
370,-1
371,1
372,0
373,-1
374,1
375,-1
376,0
377,1
378,1
379,0
380,-1
381,0
382,1
383,1
384,-1
385,0
386,0
387,-1
388,-1
389,1
390,0
391,0
392,1
393,-1
394,-1
395,0
396,0
397,-1
398,-1
399,-1
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,-1
409,0
410,-1
411,1
412,-1
413,0
414,0
415,1
416,0
417,1
418,0
419,1
420,0
421,-1
422,0
423,1
424,-1
425,1
426,1
427,-1
428,0
429,0
430,1
431,-1
432,-1
433,0
434,-1
435,0
436,0
437,0
438,0
439,0
440,0
441,-1
442,0
443,-1
444,-1
445,0
446,-1
447,-1
448,0
449,-1
450,1
451,-1
452,1
453,-1
454,-1
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,1
463,1
464,0
465,1
466,0
467,0
468,-1
469,1
470,1
471,1
472,0
473,-1
474,0
475,1
476,-1
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,1
485,-1
486,1
487,0
488,0
489,-1
490,0
491,0
492,-1
493,1
494,0
495,-1
496,0
497,0
498,1
499,-1
500,0
501,0
502,0
503,-1
504,-1
505,0
506,1
507,1
508,-1
509,0
510,-1
511,-1
512,-1
513,-1
514,0
515,1
516,0
517,0
518,0
519,1
520,1
521,0
522,-1
523,-1
524,1
525,-1
526,0
527,-1
528,0
529,-1
530,1
531,0
532,1
533,0
534,-1
535,-1
536,-1
537,-1
538,1
539,0
540,-1
541,0
542,0
543,-1
544,1
545,-1
546,0
547,1
548,1
549,-1
550,1
551,1
552,0
553,-1
554,1
555,1
556,1
557,1
558,-1
559,0
560,0
561,1
562,-1
563,0
564,-1
565,1
566,0
567,1
568,-1
569,0
570,0
571,1
572,0
573,0
574,-1
575,-1
576,0
577,-1
578,1
579,1
580,-1
581,-1
582,1
583,0
584,1
585,-1
586,0
587,-1
588,-1
589,0
590,0
591,-1
592,-1
593,0
594,-1
595,0
596,-1
597,0
598,1
599,-1
600,1
601,0
602,0
603,1
604,0
605,1
606,-1
607,0
608,-1
609,0
610,1
611,1
612,0
613,0
614,-1
615,0
616,0
617,0
618,-1
619,0
620,1
621,-1
622,1
623,1
624,1
625,0
626,-1
627,1
628,1
629,0
630,0
631,-1
632,-1
633,1
634,0
635,-1
636,-1
637,1
638,1
639,1
640,0
641,-1
642,-1
643,-1
644,-1
645,0
646,1
647,0
648,-1
649,1
650,1
651,1
652,0
653,1
654,1
655,0
656,1
657,-1
658,-1
659,1
660,0
661,0
662,0
663,1
664,-1
665,-1
666,0
667,-1
668,1
669,1
670,0
671,0
672,1
673,0
674,1
675,0
676,-1
677,0
678,1
679,0
680,1
681,1
682,0
683,1
684,1
685,1
686,0
687,0
688,0
689,0
690,0
691,0
692,1
693,-1
694,0
695,0
696,-1
697,0
698,-1
699,1
700,1
701,1
702,1
703,-1
704,-1
705,-1
706,1
707,0
708,0
709,-1
710,-1
711,-1
712,0
713,1
714,-1
715,1
716,1
717,0
718,-1
719,-1
720,1
721,0
722,0
723,0
724,0
725,-1
726,-1
727,1
728,-1
729,1
730,0
731,-1
732,-1
733,0
734,0
735,1
736,1
737,-1
738,1
739,1
740,-1
741,0
742,0
743,-1
744,-1
745,0
746,0
747,0
748,1
749,0
750,1
751,1
752,0
753,1
754,1
755,0
756,1
757,0
758,-1
759,1
760,0
761,1
762,-1
763,0
764,1
765,1
766,1
767,-1
768,-1
769,-1
770,-1
771,0
772,0
773,0
774,0
775,-1
776,-1
777,-1
778,1
779,1
780,-1
781,-1
782,-1
783,1
784,1
785,-1
786,1
787,1
788,1
789,1
790,-1
791,0
792,1
793,0
794,-1
795,1
796,0
797,1
798,1
799,-1
800,-1
801,0
802,-1
803,1
804,0
805,-1
806,0
807,1
808,-1
809,0
810,0
811,1
812,-1
813,0
814,-1
815,0
816,1
817,-1
818,-1
819,-1
820,-1
821,0
822,0
823,0
824,-1
825,-1
826,-1
827,0
828,1
829,-1
830,0
831,1
832,-1
833,-1
834,-1
835,-1
836,-1
837,0
838,1
839,1
840,0
841,1
842,1
843,-1
844,-1
845,1
846,0
847,-1
848,0
849,0
850,-1
851,-1
852,-1
853,0
854,-1
855,1
856,0
857,-1
858,1
859,-1
860,1
861,1
862,0
863,1
864,0
865,-1
866,1
867,0
868,-1
869,0
870,1
871,0
872,-1
873,-1
874,1
875,0
876,0
877,-1
878,-1
879,0
880,1
881,0
882,-1
883,-1
884,0
885,-1
886,0
887,0
888,0
889,0
890,-1
891,0
892,-1
893,1
894,-1
895,-1
896,1
897,1
898,1
899,1
900,0
901,-1
902,0
903,-1
904,1
905,-1
906,-1
907,1
908,0
909,-1
910,1
911,-1
912,0
913,0
914,1
915,0
916,-1
917,-1
918,0
919,0
920,-1
921,-1
922,0
923,-1
924,1
925,-1
926,-1
927,1
928,-1
929,-1
930,-1
931,-1
932,-1
933,-1
934,-1
935,1
936,-1
937,-1
938,-1
939,0
940,1
941,-1
942,0
943,0
944,1
945,1
946,0
947,-1
948,-1
949,1
950,1
951,0
952,0
953,0
954,-1
955,-1
956,1
957,1
958,0
959,1
960,-1
961,0
962,0
963,1
964,0
965,0
966,1
967,-1
968,-1
969,1
970,1
971,-1
972,1
973,-1
974,-1
975,1
976,1
977,-1
978,1
979,1
980,-1
981,-1
982,1
983,-1
984,0
985,-1
986,-1
987,0
988,0
989,0
990,1
991,1
992,-1
993,-1
994,0
995,-1
996,0
997,1
998,0
999,0
1000,1
1001,0
1002,-1
1003,1
1004,1
1005,0
1006,1
1007,-1
1008,0
1009,-1
1010,1
1011,0
1012,0
1013,1
1014,-1
1015,1
1016,-1
1017,-1
1018,1
1019,0
1020,0
1021,-1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,0
1028,1
1029,0
1030,0
1031,1
1032,0
1033,1
1034,0
1035,0
1036,1
1037,1
1038,-1
1039,0
1040,1
1041,0
1042,0
1043,1
1044,0
1045,1
1046,1
1047,1
1048,0
1049,-1
1050,0
1051,1
1052,1
1053,0
1054,0
1055,-1
1056,1
1057,-1
1058,1
1059,0
1060,0
1061,0
1062,1
1063,-1
1064,0
1065,-1
1066,1
1067,0
1068,0
1069,0
1070,-1
1071,0
1072,1
1073,1
1074,1
1075,0
1076,-1
1077,1
1078,1
1079,0
1080,1
1081,0
1082,1
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,-1
1090,1
1091,0
1092,1
1093,-1
1094,-1
1095,-1
1096,1
1097,1
1098,0
1099,-1
1100,1
1101,1
1102,-1
1103,1
1104,1
1105,-1
1106,-1
1107,-1
1108,0
1109,1
1110,-1
1111,1
1112,1
1113,-1
1114,0
1115,-1
1116,1
1117,0
1118,-1
1119,-1
1120,1
1121,-1
1122,0
1123,0
1124,1
1125,1
1126,-1
1127,-1
1128,1
1129,0
1130,1
1131,-1
1132,0
1133,1
1134,-1
1135,-1
1136,0
1137,-1
1138,0
1139,-1
1140,1
1141,-1
1142,-1
1143,-1
1144,1
1145,0
1146,-1
1147,1
1148,0
1149,1
1150,1
1151,1
1152,-1
1153,-1
